zone,name,rows,start,end,min_price,max_price,negative_hours,dropped_partial_hours,zero_solar,zero_wind
AT,Austria,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-363.1025,892.83,786,1,False,False
BE,Belgium,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-454.62375,867.20875,1197,1,False,False
BG,Bulgaria,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-100.605,921.36625,268,1,False,False
CZ,Czechia,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-222.7575,867.20875,772,1,False,True
DE_LU,Germany–Luxembourg,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-462.125,867.20875,1368,1,False,False
DK_1,Denmark West,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-424.6875,867.20875,1104,1,False,False
DK_2,Denmark East,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-55.64125,867.20875,774,1,False,False
EE,Estonia,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-55.64125,2781.2799999999997,515,1,False,False
ES,Spain,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-15.0,683.09125,875,1,False,False
FI,Finland,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-500.0,1842.75,1753,1,False,False
FR,France,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-114.1275,2816.03625,1043,1,False,False
GR,Greece,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-50.0,919.8075,146,1,False,False
HR,Croatia,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-336.6275,909.04375,556,1,False,False
HU,Hungary,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-324.83,1044.7224999999999,630,1,False,False
IT_CALA,Italy Calabria,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,0.0,866.25,0,1,False,False
IT_CNOR,Italy Centre North,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,0.0,870.0,0,1,False,False
IT_CSUD,Italy Centre South,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,0.0,866.25,0,1,False,False
IT_NORD,Italy North,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,0.0,870.0,0,1,False,False
IT_SARD,Italy Sardinia,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,0.0,870.0,0,1,False,False
IT_SICI,Italy Sicily,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,0.0,866.25,0,1,False,False
IT_SUD,Italy South,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,0.0,866.25,0,1,False,False
LT,Lithuania,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-53.46,2781.2799999999997,465,1,False,False
LV,Latvia,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-53.46,2781.2799999999997,449,1,True,False
NL,Netherlands,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-500.0,867.20875,1424,1,False,False
NO_1,Norway zone 1,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-56.76625,777.29375,660,1,True,False
NO_2,Norway zone 2,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-56.76625,840.32875,407,1,True,False
NO_3,Norway zone 3,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-11.209999999999999,577.625,692,1,True,False
NO_4,Norway zone 4,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-18.40375,501.79375,701,1,True,False
NO_5,Norway zone 5,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-18.22125,777.29375,545,1,True,True
PL,Poland,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-124.795,722.83125,539,1,False,False
PT,Portugal,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-5.0,651.0,457,1,False,False
RO,Romania,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-105.80375000000001,1015.32125,358,1,False,False
SE_1,Sweden zone 1,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-74.11,577.625,1613,1,False,False
SE_2,Sweden zone 2,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-55.64125,577.625,1866,1,False,False
SE_3,Sweden zone 3,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-55.64125,784.15125,1464,1,False,False
SE_4,Sweden zone 4,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-55.64125,784.15125,1393,1,False,False
SI,Slovenia,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-343.92875,970.615,578,1,False,True
SK,Slovakia,35064,2021-12-31 23:00:00+00:00,2025-12-31 22:00:00+00:00,-201.0125,899.105,687,1,False,True
