delivery_period,n,mae,rmse,wape,spike_precision,spike_recall,spike_events,spike_predictions,zone,model,pricefm_forecasts,weather,evaluation_end,pinball_p10,pinball_p50,pinball_p90,coverage_80,interval_width
overall,719,32.78522600834492,45.49517429394009,0.3480253896402531,,0.0,32,0,DE_LU,Persistence,False,False,2025-03-31,,,,,
weekday_offpeak,252,19.073645833333334,27.004418402599395,0.16899176933300972,,0.0,2,0,DE_LU,Persistence,False,False,2025-03-31,,,,,
weekday_peak,252,45.77378968253968,57.62845873492709,0.4641963976170838,,0.0,30,0,DE_LU,Persistence,False,False,2025-03-31,,,,,
weekend,215,33.63266860465116,46.63185868383967,0.5007494163727935,,,0,0,DE_LU,Persistence,False,False,2025-03-31,,,,,
overall,719,34.66703581363004,46.801757880504944,0.36800138707722374,0.43243243243243246,0.5,32,37,DE_LU,Weekly seasonal,False,False,2025-03-31,,,,,
weekday_offpeak,252,16.75078373015873,23.610971855827675,0.1484113003360413,0.0,0.0,2,3,DE_LU,Weekly seasonal,False,False,2025-03-31,,,,,
weekday_peak,252,50.29693452380952,60.55072583161262,0.5100660438880076,0.48484848484848486,0.5333333333333333,30,33,DE_LU,Weekly seasonal,False,False,2025-03-31,,,,,
weekend,215,37.346854651162786,48.72733964971474,0.5560491167014633,0.0,,0,1,DE_LU,Weekly seasonal,False,False,2025-03-31,,,,,
overall,719,34.31250095938678,49.11245358246521,0.3642378891297747,,0.0,32,0,DE_LU,SARIMAX,False,False,2025-03-31,,,,,
weekday_offpeak,252,16.208930081411307,24.555066184718864,0.14361049782447596,,0.0,2,0,DE_LU,SARIMAX,False,False,2025-03-31,,,,,
weekday_peak,252,46.91487185665501,60.020525767797686,0.47576822154258797,,0.0,30,0,DE_LU,SARIMAX,False,False,2025-03-31,,,,,
weekend,215,40.76041907630876,56.01026774189401,0.6068729277328123,,,0,0,DE_LU,SARIMAX,False,False,2025-03-31,,,,,
overall,719,19.77628917064647,27.204397399216706,0.20993147164825687,0.5714285714285714,0.25,32,14,DE_LU,SARIMAX,False,True,2025-03-31,,,,,
weekday_offpeak,252,11.32533450276407,17.819189296507062,0.10034202861025905,,0.0,2,0,DE_LU,SARIMAX,False,True,2025-03-31,,,,,
weekday_peak,252,22.988368080637393,29.003192473015364,0.23312724867519347,0.6666666666666666,0.26666666666666666,30,12,DE_LU,SARIMAX,False,True,2025-03-31,,,,,
weekend,215,25.916738896175076,33.41928036000879,0.385868633533023,0.0,,0,2,DE_LU,SARIMAX,False,True,2025-03-31,,,,,
overall,719,22.403913609726022,32.228373656911764,0.23782452381163519,0.4,0.4375,32,35,DE_LU,LightGBM,False,False,2025-03-31,,,,,
weekday_offpeak,252,12.531281193491752,19.30265597609319,0.11102666996137424,0.0,0.0,2,3,DE_LU,LightGBM,False,False,2025-03-31,,,,,
weekday_peak,252,27.324187707134584,37.8415538258409,0.2770972119510368,0.5185185185185185,0.4666666666666667,30,27,DE_LU,LightGBM,False,False,2025-03-31,,,,,
weekend,215,28.208538243884508,36.85605304694051,0.41999073069097315,0.0,,0,5,DE_LU,LightGBM,False,False,2025-03-31,,,,,
overall,719,18.947338338755152,26.24813380200807,0.2011319002746096,0.47058823529411764,0.75,32,51,DE_LU,LightGBM,False,True,2025-03-31,,,,,
weekday_offpeak,252,11.092634554818595,15.744826607763267,0.09828031601107252,0.0,0.0,2,6,DE_LU,LightGBM,False,True,2025-03-31,,,,,
weekday_peak,252,22.43136601999678,29.5536010797816,0.22747863727972292,0.5714285714285714,0.8,30,42,DE_LU,LightGBM,False,True,2025-03-31,,,,,
weekend,215,24.07017730563479,31.460136494117243,0.35837558355745275,0.0,,0,3,DE_LU,LightGBM,False,True,2025-03-31,,,,,
overall,719,11.994640732948834,16.479019073282608,0.1273268487951505,0.6153846153846154,0.75,32,39,DE_LU,LightGBM,True,False,2025-03-31,,,,,
weekday_offpeak,252,8.419429800301458,11.12840198710488,0.07459582458228749,0.0,0.0,2,7,DE_LU,LightGBM,True,False,2025-03-31,,,,,
weekday_peak,252,13.530185337629602,19.411106839532433,0.13721090904594457,0.75,0.8,30,32,DE_LU,LightGBM,True,False,2025-03-31,,,,,
weekend,215,14.38531940572831,17.926320440539264,0.21417986129588562,,,0,0,DE_LU,LightGBM,True,False,2025-03-31,,,,,
overall,719,12.115362399488689,16.439861988689447,0.12860834690118336,0.6,0.75,32,40,DE_LU,LightGBM,True,True,2025-03-31,,,,,
weekday_offpeak,252,8.72806455563194,11.442964807899262,0.07733031665772537,0.0,0.0,2,6,DE_LU,LightGBM,True,True,2025-03-31,,,,,
weekday_peak,252,13.67920159904538,19.145616220002424,0.13872209726556353,0.7058823529411765,0.8,30,34,DE_LU,LightGBM,True,True,2025-03-31,,,,,
weekend,215,14.252625554668297,17.908611361026036,0.21220421168997325,,,0,0,DE_LU,LightGBM,True,True,2025-03-31,,,,,
overall,719,23.09622002202078,32.72610090294375,0.24517357209417567,0.45,0.28125,32,20,DE_LU,Quantile LightGBM,False,False,2025-03-31,8.267880798302336,11.54811001101039,4.959420256828089,0.5438108484005564,42.23565441271908
weekday_offpeak,252,11.576859980554284,18.687384511857655,0.1025705346806515,0.0,0.0,2,1,DE_LU,Quantile LightGBM,False,False,2025-03-31,3.6706320614631465,5.788429990277142,3.0785998617719557,0.6507936507936508,28.693574562964564
weekday_peak,252,28.012716543681183,37.26714307351753,0.2840796490137546,0.47368421052631576,0.3,30,19,DE_LU,Quantile LightGBM,False,False,2025-03-31,8.601731581835859,14.006358271840591,6.317463352156187,0.5515873015873016,52.80336610669019
weekend,215,30.835390287095834,39.29948472164237,0.45910135384722905,,,0,0,DE_LU,Quantile LightGBM,False,False,2025-03-31,13.264979794735023,15.417695143547917,5.572163882555835,0.40930232558139534,45.72189057670709
overall,719,19.04431547640959,26.953113205510533,0.2021613428079565,0.5757575757575758,0.59375,32,33,DE_LU,Quantile LightGBM,False,True,2025-03-31,6.339087511131228,9.522157738204795,4.561010165276114,0.5632823365785814,39.453378554929294
weekday_offpeak,252,10.369466686614375,14.993381266710859,0.09187307648065002,0.0,0.0,2,3,DE_LU,Quantile LightGBM,False,True,2025-03-31,2.8530999318578787,5.184733343307188,2.652842070906793,0.6309523809523809,27.438273443943043
weekday_peak,252,20.850736718402477,28.496420310275692,0.21144932371716338,0.6551724137931034,0.6333333333333333,30,29,DE_LU,Quantile LightGBM,False,True,2025-03-31,4.666582358382952,10.425368359201238,6.023551404905308,0.6190476190476191,51.45101434226696
weekend,215,27.09475148592674,34.8449453118819,0.4034078042640773,0.0,,0,1,DE_LU,Quantile LightGBM,False,True,2025-03-31,12.385320852849597,13.54737574296337,5.08332629269245,0.4186046511627907,39.4738542272988
overall,719,11.951064728201949,16.134137296124038,0.12686427592689756,0.6285714285714286,0.6875,32,35,DE_LU,Quantile LightGBM,True,False,2025-03-31,4.054542659638807,5.9755323641009745,2.8505994783873425,0.5187760778859527,25.58992387017181
weekday_offpeak,252,8.394080648215917,11.184059332799958,0.07437123206864542,0.0,0.0,2,6,DE_LU,Quantile LightGBM,True,False,2025-03-31,2.208570589453544,4.197040324107959,2.014070868963546,0.5873015873015873,19.069715522523136
weekday_peak,252,13.184696554289639,17.97136995703768,0.13370727411084776,0.7586206896551724,0.7333333333333333,30,29,DE_LU,Quantile LightGBM,True,False,2025-03-31,3.4953742513845834,6.592348277144819,3.5820532912695278,0.5515873015873016,32.40657312318926
weekend,215,14.674249695561864,18.584030500953396,0.2184816809257013,,,0,0,DE_LU,Quantile LightGBM,True,False,2025-03-31,6.873591034367879,7.337124847780932,2.973756914333791,0.4,25.24246755318142
