delivery_period,n,mae,rmse,wape,spike_precision,spike_recall,spike_events,spike_predictions,zone,model,pricefm_forecasts,weather,pinball_p10,pinball_p50,pinball_p90,coverage_80,interval_width
overall,2879,21.705940347095304,31.583315953640877,0.2547781478672642,0.527027027027027,0.49159663865546216,238,222,DE_LU,LightGBM,False,False,,,,,
weekday_offpeak,1032,16.1666007278532,24.904662530187423,0.16778390514603855,0.5507246376811594,0.4691358024691358,81,69,DE_LU,LightGBM,False,False,,,,,
weekday_peak,1032,29.13232488504768,40.26916937776795,0.3393201450121862,0.5476190476190477,0.5,138,126,DE_LU,LightGBM,False,False,,,,,
weekend,815,19.316455247575057,26.171496023379294,0.2750413025387772,0.37037037037037035,0.5263157894736842,19,27,DE_LU,LightGBM,False,False,,,,,
overall,2879,18.426870403092895,26.610031139354746,0.21628935845289798,0.6014760147601476,0.6848739495798319,238,271,DE_LU,LightGBM,False,True,,,,,
weekday_offpeak,1032,13.947679179164693,20.882404950798918,0.14475498713668705,0.6142857142857143,0.5308641975308642,81,70,DE_LU,LightGBM,False,True,,,,,
weekday_peak,1032,23.91439289290505,33.21352908499053,0.2785440330052002,0.621301775147929,0.7608695652173914,138,169,DE_LU,LightGBM,False,True,,,,,
weekend,815,17.150063205065607,23.50130525162557,0.2441946859341989,0.46875,0.7894736842105263,19,32,DE_LU,LightGBM,False,True,,,,,
overall,2879,12.162113079242902,18.926804051437635,0.14275542063287747,0.7626459143968871,0.8235294117647058,238,257,DE_LU,LightGBM,True,False,,,,,
weekday_offpeak,1032,9.844377217482576,14.696011312282891,0.10216916227999503,0.6781609195402298,0.7283950617283951,81,87,DE_LU,LightGBM,True,False,,,,,
weekday_peak,1032,15.48269094031814,24.400588799563796,0.18033538194351406,0.8026315789473685,0.8840579710144928,138,152,DE_LU,LightGBM,True,False,,,,,
weekend,815,10.892256707104252,15.428504884143132,0.1550916270046376,0.8333333333333334,0.7894736842105263,19,18,DE_LU,LightGBM,True,False,,,,,
overall,2879,11.952524000609252,18.64750767799396,0.14029532370025902,0.77431906614786,0.8361344537815126,238,257,DE_LU,LightGBM,True,True,,,,,
weekday_offpeak,1032,9.685288879612218,14.391148028076518,0.10051807538545121,0.7349397590361446,0.7530864197530864,81,83,DE_LU,LightGBM,True,True,,,,,
weekday_peak,1032,15.26084576728904,24.042813358500325,0.17775142969873034,0.8013245033112583,0.8768115942028986,138,151,DE_LU,LightGBM,True,True,,,,,
weekend,815,10.634240051720163,15.301716206961666,0.15141780403536131,0.7391304347826086,0.8947368421052632,19,23,DE_LU,LightGBM,True,True,,,,,
overall,2879,33.11074808961445,48.845619161537805,0.38864453407108074,,0.0,238,0,DE_LU,Persistence,False,False,,,,,
weekday_offpeak,1032,19.701274224806202,30.456418844492422,0.20446826030013115,,0.0,81,0,DE_LU,Persistence,False,False,,,,,
weekday_peak,1032,45.81125121124031,61.05862454113123,0.5335887357265517,,0.0,138,0,DE_LU,Persistence,False,False,,,,,
weekend,815,34.008487730061354,50.32723893479402,0.4842368148174776,,0.0,19,0,DE_LU,Persistence,False,False,,,,,
overall,2879,21.039672829186948,31.64492125172056,0.2469576894359608,0.5723684210526315,0.36554621848739494,238,152,DE_LU,Quantile LightGBM,False,False,5.790052460592086,10.519836414593474,5.661604971545459,0.5640847516498785,41.585525305158406
weekday_offpeak,1032,15.606652954396749,24.67861664103553,0.1619725273746752,0.5416666666666666,0.32098765432098764,81,48,DE_LU,Quantile LightGBM,False,False,4.1118733114683295,7.803326477198374,4.301092563692429,0.6162790697674418,34.11095353652686
weekday_peak,1032,27.7393879220869,39.97881345631232,0.3230958452307679,0.6190476190476191,0.37681159420289856,138,84,DE_LU,Quantile LightGBM,False,False,6.6471078383307995,13.86969396104345,8.31073554783462,0.5281007751937985,52.0195900533296
weekend,815,19.43571029533508,27.247087620549713,0.2767393399503959,0.45,0.47368421052631576,19,20,DE_LU,Quantile LightGBM,False,False,6.829806733069831,9.71785514766754,4.029882333722038,0.5435582822085889,37.83804462431799
overall,2879,18.117714326028604,27.555176049647294,0.21266057244055225,0.689119170984456,0.5588235294117647,238,193,DE_LU,Quantile LightGBM,False,True,4.698299060921869,9.058857163014302,4.889156833531487,0.5956929489406044,39.01777009706087
weekday_offpeak,1032,13.625617368686678,21.343743089061114,0.14141249175562,0.6875,0.4074074074074074,81,48,DE_LU,Quantile LightGBM,False,True,3.320903644335124,6.812808684343339,3.885737857173374,0.622093023255814,31.406851211400532
weekday_peak,1032,22.618334487841935,33.942942156510426,0.26344813085233093,0.7288135593220338,0.6231884057971014,138,118,DE_LU,Quantile LightGBM,False,True,4.770162101736877,11.309167243920967,6.916995360615454,0.5920542635658915,49.56677995330164
weekend,815,18.106921753004688,25.425579047894377,0.25781911225867,0.5185185185185185,0.7368421052631579,19,27,DE_LU,Quantile LightGBM,False,True,6.351439443494178,9.053460876502344,3.591977721446724,0.5668711656441717,35.29738987419092
overall,2879,11.631057013538571,18.744937427341664,0.1365220357313138,0.7841409691629956,0.7478991596638656,238,227,DE_LU,Quantile LightGBM,True,False,2.81170314732122,5.815528506769286,3.1207774472281957,0.6161861757554706,28.162191521553492
weekday_offpeak,1032,9.622894390954459,15.220645783339835,0.09987051866386085,0.726027397260274,0.654320987654321,81,73,DE_LU,Quantile LightGBM,True,False,2.2704334523684855,4.811447195477229,2.6664321120213144,0.6075581395348837,24.44239241315751
weekday_peak,1032,14.543514937770894,24.009761276605794,0.16939628461318523,0.8071428571428572,0.8188405797101449,138,140,DE_LU,Quantile LightGBM,True,False,2.7522620726454416,7.271757468885447,4.217911659369722,0.6395348837209303,35.51560974922261
weekend,815,10.485986153046605,14.76211676334505,0.14930686054831827,0.8571428571428571,0.631578947368421,19,14,DE_LU,Quantile LightGBM,True,False,3.5723577660410055,5.242993076523303,2.306841102447148,0.5975460122699386,23.561093446596583
overall,2879,11.439774442022145,18.650168695738934,0.1342768153671675,0.7850877192982456,0.7521008403361344,238,228,DE_LU,Quantile LightGBM,True,True,2.8157234233074115,5.7198872210110725,3.0918722197575135,0.6158388329281,28.436817828554727
weekday_offpeak,1032,9.460265479724233,15.057755329055162,0.09818268618285919,0.7361111111111112,0.654320987654321,81,72,DE_LU,Quantile LightGBM,True,True,2.250679567913611,4.730132739862117,2.626161594372697,0.6094961240310077,24.39258568808777
weekday_peak,1032,14.163288529777342,23.883151942117752,0.16496757937229134,0.8,0.8115942028985508,138,140,DE_LU,Quantile LightGBM,True,True,2.838184348135523,7.081644264888671,4.103824380446007,0.6346899224806202,35.69708436027528
weekend,815,10.497672246351074,14.809615549455865,0.14947325538022999,0.875,0.7368421052631579,19,16,DE_LU,Quantile LightGBM,True,True,3.5027732200482595,5.248836123175537,2.400189686710402,0.6,24.364489617789427
