zone,rows,first,last,missing_hours,sites,asof_guard_passed
AT,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,2,True
BE,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
BG,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
CZ,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
DE_LU,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,4,True
DK_1,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
DK_2,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
EE,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
ES,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,3,True
FI,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,2,True
FR,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,3,True
GR,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
HR,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
HU,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
IT_CALA,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
IT_CNOR,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
IT_CSUD,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
IT_NORD,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,2,True
IT_SARD,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
IT_SICI,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
IT_SUD,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
LT,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
LV,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
NL,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,2,True
NO_1,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
NO_2,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
NO_3,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
NO_4,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
NO_5,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
PL,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,2,True
PT,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
RO,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
SE_1,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
SE_2,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
SE_3,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
SE_4,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
SI,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
SK,15360,2024-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0,1,True
